Date,Price,Open,High,Low,	Change %
12/30/2016,4.486,4.4825,4.486,4.4825,0.03
12/29/2016,4.4845,4.481,4.4845,4.479,0.06
12/28/2016,4.482,4.477,4.483,4.477,0.08
12/27/2016,4.4785,4.474,4.4795,4.473,0.1
12/26/2016,4.474,4.474,4.4783,4.474,0
12/23/2016,4.474,4.473,4.4785,4.4725,-0.09
12/22/2016,4.478,4.477,4.48,4.473,-0.03
12/21/2016,4.4795,4.474,4.4805,4.474,0
12/20/2016,4.4795,4.4735,4.4805,4.4735,0.03
12/19/2016,4.478,4.472,4.4785,4.472,0.01
12/16/2016,4.4775,4.462,4.4775,4.462,0.29
12/15/2016,4.4645,4.446,4.4665,4.446,0.42
12/14/2016,4.446,4.423,4.447,4.423,0.21
12/13/2016,4.4365,4.419,4.4365,4.419,0.48
12/12/2016,4.4153,4.4235,4.4245,4.4119,-0.19
12/9/2016,4.4235,4.421,4.435,4.421,0.03
12/8/2016,4.422,4.427,4.429,4.42,-0.23
12/7/2016,4.432,4.433,4.436,4.43,-0.08
12/6/2016,4.4355,4.445,4.4475,4.433,-0.29
12/5/2016,4.4485,4.448,4.4505,4.445,-0.09
12/2/2016,4.4525,4.452,4.4565,4.4415,-0.25
12/1/2016,4.4635,4.46,4.4705,4.46,-0.06
11/30/2016,4.466,4.46,4.466,4.46,0
11/29/2016,4.466,4.458,4.466,4.458,0.08
11/28/2016,4.4625,4.446,4.4625,4.446,0.13
11/25/2016,4.4565,4.45,4.4675,4.45,0.15
11/24/2016,4.45,4.442,4.468,4.442,0.17
11/23/2016,4.4425,4.41,4.4455,4.41,0.49
11/22/2016,4.421,4.415,4.439,4.405,0.02
11/21/2016,4.42,4.408,4.433,4.408,0.08
11/18/2016,4.4165,4.392,4.4165,4.392,0.52
11/17/2016,4.3935,4.351,4.3955,4.3501,1
11/16/2016,4.35,4.33,4.36,4.325,0.12
11/15/2016,4.345,4.315,4.35,4.315,0.35
11/14/2016,4.33,4.285,4.335,4.285,1.05
11/11/2016,4.285,4.2758,4.303,4.265,0.25
11/10/2016,4.2745,4.235,4.2745,4.235,1.12
11/9/2016,4.227,4.195,4.236,4.175,0.58
11/8/2016,4.2025,4.208,4.2125,4.198,-0.17
11/7/2016,4.2095,4.196,4.2145,4.196,0.24
11/4/2016,4.1995,4.188,4.2025,4.188,0.29
11/3/2016,4.1875,4.183,4.1925,4.1765,-0.01
11/2/2016,4.188,4.18,4.2015,4.18,0.16
11/1/2016,4.1815,4.202,4.2045,4.179,-0.32
10/31/2016,4.195,4.2,4.215,4.189,-0.11
10/28/2016,4.1995,4.185,4.2035,4.185,0.36
10/27/2016,4.1845,4.16,4.1865,4.16,0.54
10/26/2016,4.162,4.15,4.163,4.143,0.11
10/25/2016,4.1575,4.173,4.1805,4.153,-0.48
10/24/2016,4.1775,4.175,4.1915,4.166,-0.2
10/21/2016,4.186,4.18,4.2,4.18,0.04
10/20/2016,4.1845,4.188,4.1915,4.17,-0.19
10/19/2016,4.1925,4.193,4.1965,4.18,-0.34
10/18/2016,4.207,4.21,4.213,4.191,-0.25
10/17/2016,4.2175,4.205,4.2225,4.205,0.38
10/14/2016,4.2015,4.204,4.2205,4.192,-0.3
10/13/2016,4.214,4.194,4.224,4.188,0.45
10/12/2016,4.195,4.175,4.202,4.175,0.54
10/11/2016,4.1725,4.145,4.1785,4.128,0.46
10/10/2016,4.1535,4.15,4.1555,4.142,-0.1
10/7/2016,4.1575,4.147,4.1575,4.141,0.34
10/6/2016,4.1435,4.1365,4.1435,4.13,0.12
10/5/2016,4.1385,4.135,4.1475,4.134,0.27
10/4/2016,4.1275,4.131,4.1435,4.1,-0.19
10/3/2016,4.1355,4.132,4.1355,4.132,0
9/30/2016,4.1355,4.133,4.1515,4.131,0.27
9/29/2016,4.1245,4.127,4.134,4.1,-0.34
9/28/2016,4.1385,4.133,4.145,4.126,0.34
9/27/2016,4.1245,4.13,4.1425,4.1119,-0.11
9/26/2016,4.129,4.115,4.141,4.115,0.38
9/23/2016,4.1135,4.11,4.1235,4.102,0.12
9/22/2016,4.1085,4.125,4.1275,4.097,-0.74
9/21/2016,4.139,4.132,4.162,4.13,0
9/20/2016,4.139,4.138,4.146,4.128,0.07
9/19/2016,4.136,4.131,4.149,4.125,-0.1
9/16/2016,4.14,4.137,4.14,4.137,0
9/15/2016,4.14,4.125,4.153,4.12,0.4
9/14/2016,4.1235,4.11,4.138,4.11,0.39
9/13/2016,4.1075,4.07,4.1185,4.07,0.92
9/12/2016,4.07,4.0675,4.07,4.0675,0
9/9/2016,4.07,4.045,4.0735,4.045,0.68
9/8/2016,4.0425,4.045,4.0665,4.033,-0.38
9/7/2016,4.058,4.075,4.078,4.05,-0.58
9/6/2016,4.0815,4.068,4.0835,4.059,0.27
9/5/2016,4.0705,4.081,4.0905,4.055,-0.39
9/2/2016,4.0865,4.074,4.093,4.074,0.25
9/1/2016,4.0765,4.051,4.0815,4.051,0.64
8/31/2016,4.0505,4.048,4.0505,4.048,0
8/30/2016,4.0505,4.034,4.0585,4.031,0.13
8/29/2016,4.0453,4.02,4.0512,4.02,0.72
8/26/2016,4.0165,4.015,4.0255,4.01,0.04
8/25/2016,4.015,4.03,4.049,4.01,-0.58
8/24/2016,4.0385,4.032,4.0445,4.024,0.21
8/23/2016,4.03,4.027,4.034,4.018,0.17
8/22/2016,4.023,4.005,4.0415,4.005,0.24
8/19/2016,4.0135,3.985,4.019,3.985,0.48
8/18/2016,3.9945,4,4.002,3.985,-0.49
8/17/2016,4.014,3.9855,4.0185,3.981,0.72
8/16/2016,3.9855,3.995,4.0075,3.983,-0.55
8/15/2016,4.0075,4.014,4.0375,4,-0.52
8/12/2016,4.0285,3.994,4.0305,3.99,0.6
8/11/2016,4.0045,4,4.022,3.99,0.34
8/10/2016,3.991,4.022,4.025,3.987,-0.97
8/9/2016,4.03,4.03,4.044,4.0245,-0.19
8/8/2016,4.0375,4.033,4.0595,4.025,0.25
8/5/2016,4.0275,4.045,4.0475,4.02,-0.59
8/4/2016,4.0515,4.06,4.0625,4.037,-0.22
8/3/2016,4.0605,4.037,4.0725,4.037,0.63
8/2/2016,4.035,4.025,4.061,4.025,0.25
8/1/2016,4.025,4.07,4.0735,4.014,-1.12
7/29/2016,4.0705,4.055,4.0835,4.04,0.52
7/28/2016,4.0495,4.06,4.068,4.043,-0.7
7/27/2016,4.078,4.06,4.0885,4.05,0.39
7/26/2016,4.062,4.08,4.089,4.0515,-0.1
7/25/2016,4.066,4.065,4.09,4.06,0.23
7/22/2016,4.0565,4.048,4.073,4.035,0.4
7/21/2016,4.0405,4.035,4.0625,4.024,0.34
7/20/2016,4.027,4.005,4.043,4.005,0.57
7/19/2016,4.004,3.978,4.009,3.97,0.67
7/18/2016,3.9775,3.953,3.986,3.953,0.76
7/15/2016,3.9475,3.9395,3.972,3.935,-0.19
7/14/2016,3.955,3.965,3.975,3.935,-0.45
7/13/2016,3.973,3.967,4.003,3.965,0.2
7/12/2016,3.965,3.992,4.013,3.96,-0.81
7/11/2016,3.9975,4.018,4.0225,3.978,-0.87
7/8/2016,4.0325,4.014,4.0475,4.014,0.19
7/7/2016,4.025,4.02,4.025,4.02,0
7/6/2016,4.025,4.02,4.025,4.02,0
7/5/2016,4.025,3.99,4.025,3.985,0.74
7/4/2016,3.9955,3.988,4.0065,3.98,-0.08
7/1/2016,3.9985,4.015,4.0175,3.982,-0.72
6/30/2016,4.0275,4.023,4.0425,4.005,-0.21
6/29/2016,4.036,4.055,4.072,4.033,-0.96
6/28/2016,4.075,4.1,4.119,4.064,-0.73
6/27/2016,4.105,4.099,4.136,4.08,0.24
6/24/2016,4.095,4.012,4.1251,3.97,1.9
6/23/2016,4.0185,4.032,4.0355,4.004,-0.37
6/22/2016,4.0335,4.032,4.0335,4.032,0
6/21/2016,4.0335,4.055,4.0665,4.03,-0.8
6/20/2016,4.066,4.097,4.101,4.06,-0.85
6/17/2016,4.101,4.09,4.113,4.087,-0.04
6/16/2016,4.1025,4.085,4.1025,4.08,0.04
6/15/2016,4.101,4.1,4.116,4.0915,-0.1
6/14/2016,4.105,4.0845,4.108,4.07,0.4
6/13/2016,4.0885,4.07,4.1085,4.07,0.5
6/10/2016,4.068,4.05,4.083,4.05,0.51
6/9/2016,4.0475,4.05,4.0525,4.023,-0.37
6/8/2016,4.0625,4.055,4.0705,4.054,0.11
6/7/2016,4.058,4.083,4.097,4.054,-0.99
6/6/2016,4.0985,4.14,4.1435,4.08,-1.18
6/3/2016,4.1475,4.145,4.1565,4.136,-0.1
6/2/2016,4.1515,4.145,4.1755,4.132,0.14
6/1/2016,4.1455,4.123,4.1525,4.108,0.46
5/31/2016,4.1265,4.1145,4.1385,4.1,0.22
5/30/2016,4.1175,4.08,4.1195,4.08,0.94
5/27/2016,4.079,4.07,4.087,4.06,-0.06
5/26/2016,4.0815,4.088,4.0915,4.075,-0.54
5/25/2016,4.1035,4.115,4.1225,4.094,-0.47
5/24/2016,4.123,4.085,4.132,4.07,0.88
5/23/2016,4.087,4.078,4.088,4.063,0.15
5/20/2016,4.081,4.078,4.088,4.065,0.01
5/19/2016,4.0805,4.054,4.0905,4.054,0.82
5/18/2016,4.0475,4.0195,4.0525,4.0195,0.72
5/17/2016,4.0185,4.015,4.0275,4.007,-0.25
5/16/2016,4.0285,4.033,4.046,4.02,-0.01
5/13/2016,4.029,4.025,4.039,4.015,0.22
5/12/2016,4.02,4.025,4.036,4,-0.37
5/11/2016,4.035,4.04,4.058,4.032,-0.48
5/10/2016,4.0545,4.02,4.0615,4.02,1.03
5/9/2016,4.013,4.007,4.017,3.99,0.12
5/6/2016,4.008,4.005,4.014,3.999,0.06
5/5/2016,4.0055,3.995,4.0135,3.99,0.38
5/4/2016,3.9905,3.912,3.9945,3.912,1.51
5/3/2016,3.931,3.908,3.934,3.896,0.63
5/2/2016,3.9065,3.903,3.9065,3.903,0
4/29/2016,3.9065,3.895,3.914,3.877,0.36
4/28/2016,3.8925,3.905,3.9175,3.885,-0.51
4/27/2016,3.9125,3.91,3.9415,3.9,-0.27
4/26/2016,3.923,3.908,3.9525,3.888,0.46
4/25/2016,3.905,3.898,3.922,3.883,0.17
4/22/2016,3.8985,3.89,3.9125,3.888,0.21
4/21/2016,3.8905,3.875,3.9015,3.867,0.66
4/20/2016,3.865,3.875,3.881,3.85,-0.5
4/19/2016,3.8845,3.91,3.9275,3.874,-1.09
4/18/2016,3.9275,3.889,3.9525,3.889,0.51
4/15/2016,3.9075,3.88,3.9175,3.88,0.33
4/14/2016,3.8945,3.883,3.9205,3.875,0.57
4/13/2016,3.8725,3.87,3.8785,3.843,-0.21
4/12/2016,3.8805,3.883,3.894,3.871,-0.24
4/11/2016,3.89,3.89,3.9,3.872,-0.32
4/8/2016,3.9025,3.92,3.9505,3.894,-0.31
4/7/2016,3.9145,3.905,3.9165,3.87,-0.06
4/6/2016,3.917,3.92,3.9325,3.895,-0.2
4/5/2016,3.925,3.906,3.936,3.9008,0.5
4/4/2016,3.9055,3.885,3.9055,3.86,0.35
4/1/2016,3.892,3.895,3.908,3.882,-0.31
3/31/2016,3.904,3.929,3.936,3.89,-0.96
3/30/2016,3.942,3.99,3.994,3.925,-1.4
3/29/2016,3.998,4.013,4.0195,3.99,-0.39
