Date,Price,Open,High,Low,Change %
30-Dec-16,4.486,4.4825,4.486,4.4825,0.03
29-Dec-16,4.4845,4.481,4.4845,4.479,0.06
28-Dec-16,4.482,4.477,4.483,4.477,0.08
27-Dec-16,4.4785,4.474,4.4795,4.473,0.1
26-Dec-16,4.474,4.474,4.4783,4.474,0
23-Dec-16,4.474,4.473,4.4785,4.4725,-0.09
22-Dec-16,4.478,4.477,4.48,4.473,-0.03
21-Dec-16,4.4795,4.474,4.4805,4.474,0
20-Dec-16,4.4795,4.4735,4.4805,4.4735,0.03
19-Dec-16,4.478,4.472,4.4785,4.472,0.01
16-Dec-16,4.4775,4.462,4.4775,4.462,0.29
15-Dec-16,4.4645,4.446,4.4665,4.446,0.42
14-Dec-16,4.446,4.423,4.447,4.423,0.21
13-Dec-16,4.4365,4.419,4.4365,4.419,0.48
12-Dec-16,4.4153,4.4235,4.4245,4.4119,-0.19
9-Dec-16,4.4235,4.421,4.435,4.421,0.03
8-Dec-16,4.422,4.427,4.429,4.42,-0.23
7-Dec-16,4.432,4.433,4.436,4.43,-0.08
6-Dec-16,4.4355,4.445,4.4475,4.433,-0.29
5-Dec-16,4.4485,4.448,4.4505,4.445,-0.09
2-Dec-16,4.4525,4.452,4.4565,4.4415,-0.25
1-Dec-16,4.4635,4.46,4.4705,4.46,-0.06
30-Nov-16,4.466,4.46,4.466,4.46,0
29-Nov-16,4.466,4.458,4.466,4.458,0.08
28-Nov-16,4.4625,4.446,4.4625,4.446,0.13
25-Nov-16,4.4565,4.45,4.4675,4.45,0.15
24-Nov-16,4.45,4.442,4.468,4.442,0.17
23-Nov-16,4.4425,4.41,4.4455,4.41,0.49
22-Nov-16,4.421,4.415,4.439,4.405,0.02
21-Nov-16,4.42,4.408,4.433,4.408,0.08
18-Nov-16,4.4165,4.392,4.4165,4.392,0.52
17-Nov-16,4.3935,4.351,4.3955,4.3501,1
16-Nov-16,4.35,4.33,4.36,4.325,0.12
15-Nov-16,4.345,4.315,4.35,4.315,0.35
14-Nov-16,4.33,4.285,4.335,4.285,1.05
11-Nov-16,4.285,4.2758,4.303,4.265,0.25
10-Nov-16,4.2745,4.235,4.2745,4.235,1.12
9-Nov-16,4.227,4.195,4.236,4.175,0.58
8-Nov-16,4.2025,4.208,4.2125,4.198,-0.17
