Date,Price,Open,High,Low,Change %,
30-Dec-16,4.486,4.4825,4.486,4.4825,0.03,17.967
29-Dec-16,4.4845,4.481,4.4845,4.479,0.06,17.989
28-Dec-16,4.482,4.477,4.483,4.477,0.08,17.999
27-Dec-16,4.4785,4.474,4.4795,4.473,0.1,18.005
26-Dec-16,4.474,4.474,4.4783,4.474,0,17.9003
23-Dec-16,4.474,4.473,4.4785,4.4725,-0.09,17.808
22-Dec-16,4.478,4.477,4.48,4.473,-0.03,17.878
21-Dec-16,4.4795,4.474,4.4805,4.474,0,17.908
20-Dec-16,4.4795,4.4735,4.4805,4.4735,0.03,17.937
19-Dec-16,4.478,4.472,4.4785,4.472,0.01,17.9105
16-Dec-16,4.4775,4.462,4.4775,4.462,0.29,18.169
15-Dec-16,4.4645,4.446,4.4665,4.446,0.42,18.243
14-Dec-16,4.446,4.423,4.447,4.423,0.21,17.949
13-Dec-16,4.4365,4.419,4.4365,4.419,0.48,18.191
12-Dec-16,4.4153,4.4235,4.4245,4.4119,-0.19,17.4852
9-Dec-16,4.4235,4.421,4.435,4.421,0.03,17.7305
8-Dec-16,4.422,4.427,4.429,4.42,-0.23,17.468
7-Dec-16,4.432,4.433,4.436,4.43,-0.08,17.651
6-Dec-16,4.4355,4.445,4.4475,4.433,-0.29,17.471
5-Dec-16,4.4485,4.448,4.4505,4.445,-0.09,17.702
2-Dec-16,4.4525,4.452,4.4565,4.4415,-0.25,17.5525
1-Dec-16,4.4635,4.46,4.4705,4.46,-0.06,17.794
30-Nov-16,4.466,4.46,4.466,4.46,0,17.852
29-Nov-16,4.466,4.458,4.466,4.458,0.08,17.928
28-Nov-16,4.4625,4.446,4.4625,4.446,0.13,17.947
25-Nov-16,4.4565,4.45,4.4675,4.45,0.15,17.974
24-Nov-16,4.45,4.442,4.468,4.442,0.17,17.972
23-Nov-16,4.4425,4.41,4.4455,4.41,0.49,18.198
22-Nov-16,4.421,4.415,4.439,4.405,0.02,17.7
21-Nov-16,4.42,4.408,4.433,4.408,0.08,17.749
18-Nov-16,4.4165,4.392,4.4165,4.392,0.52,18.137
17-Nov-16,4.3935,4.351,4.3955,4.3501,1,18.4901
16-Nov-16,4.35,4.33,4.36,4.325,0.12,17.485
15-Nov-16,4.345,4.315,4.35,4.315,0.35,17.675
14-Nov-16,4.33,4.285,4.335,4.285,1.05,18.285
11-Nov-16,4.285,4.2758,4.303,4.265,0.25,17.3788
10-Nov-16,4.2745,4.235,4.2745,4.235,1.12,18.139
9-Nov-16,4.227,4.195,4.236,4.175,0.58,17.413
8-Nov-16,4.2025,4.208,4.2125,4.198,-0.17,16.651
7-Nov-16,4.2095,4.196,4.2145,4.196,0.24,17.056
4-Nov-16,4.1995,4.188,4.2025,4.188,0.29,17.068
3-Nov-16,4.1875,4.183,4.1925,4.1765,-0.01,16.7295
2-Nov-16,4.188,4.18,4.2015,4.18,0.16,16.9095
1-Nov-16,4.1815,4.202,4.2045,4.179,-0.32,16.447
31-Oct-16,4.195,4.2,4.215,4.189,-0.11,16.689
28-Oct-16,4.1995,4.185,4.2035,4.185,0.36,17.133
27-Oct-16,4.1845,4.16,4.1865,4.16,0.54,17.231
26-Oct-16,4.162,4.15,4.163,4.143,0.11,16.728
25-Oct-16,4.1575,4.173,4.1805,4.153,-0.48,16.184
24-Oct-16,4.1775,4.175,4.1915,4.166,-0.2,16.51
21-Oct-16,4.186,4.18,4.2,4.18,0.04,16.786
20-Oct-16,4.1845,4.188,4.1915,4.17,-0.19,16.544
19-Oct-16,4.1925,4.193,4.1965,4.18,-0.34,16.422
18-Oct-16,4.207,4.21,4.213,4.191,-0.25,16.571
17-Oct-16,4.2175,4.205,4.2225,4.205,0.38,17.23
14-Oct-16,4.2015,4.204,4.2205,4.192,-0.3,16.518
13-Oct-16,4.214,4.194,4.224,4.188,0.45,17.27
12-Oct-16,4.195,4.175,4.202,4.175,0.54,17.287
11-Oct-16,4.1725,4.145,4.1785,4.128,0.46,17.084
10-Oct-16,4.1535,4.15,4.1555,4.142,-0.1,16.501
7-Oct-16,4.1575,4.147,4.1575,4.141,0.34,16.943
